Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
Liam Nissan™,@theliamnissan,2025-03-18T14:35:03.000Z,False,"Nissans are fast, BMWs are faster, but Teslas are definitely the fascist",1.6K,16K,155K,2.5M,[],[],[],https://pbs.twimg.com/profile_images/1889150551809511424/dTmkPA9e_normal.jpg,https://x.com/theliamnissan/status/1902005836790001740,tweet_id:1902005836790001740
Swapna Kumar Panda,@swapnakpanda,2025-03-19T13:45:28.000Z,True,"Best YouTube Channels for Data Science:

❯ Python ➟ Corey Schafer
❯ SQL ➟ techTFQ
❯ Excel ➟ ExcelIsFun
❯ PowerBI ➟ Guy in a Cube
❯ Tableau ➟ Data with Baraa
❯ Mathematics ➟ ProfRobBob
❯ Machine Learning ➟ sentdex
❯ Data Analytics ➟ AlexTheAnalyst
❯ Allrounder ➟",16,157,854,46K,[],[],[],https://pbs.twimg.com/profile_images/1621910730227449856/iW8AGVCr_normal.jpg,https://x.com/swapnakpanda/status/1902355744227520817,tweet_id:1902355744227520817
aka,@akafaceUS,2025-03-18T18:42:00.000Z,True,True,3.4K,27K,233K,24M,[],[],[],https://pbs.twimg.com/profile_images/1817037550311342080/Jgzezhg0_normal.jpg,https://x.com/akafaceUS/status/1902067982299230321,tweet_id:1902067982299230321
Greggory,@greggtmasterson,2025-03-19T18:07:52.000Z,False,"Erasing Jackie Robinson is like a top 5 un-American thing you can ever do, btw.",177,5.5K,62K,1.1M,[],[],[],https://pbs.twimg.com/profile_images/1838807592493056000/H4rg3FKG_normal.jpg,https://x.com/greggtmasterson/status/1902421782201589939,tweet_id:1902421782201589939
Insurrection Barbie,@DefiyantlyFree,2025-03-19T17:59:09.000Z,True,My car is officially smarter than me. ,629,468,9.9K,174K,[],[],['\\U0001f928'],https://pbs.twimg.com/profile_images/1899107797545213952/78g98YT9_normal.jpg,https://x.com/DefiyantlyFree/status/1902419587293217154,tweet_id:1902419587293217154
Job Corner,@JOBCORNER247,2025-03-19T08:15:49.000Z,False,"Microsoft is Offering FREE Azure 2025 Certification Courses!

No Fee, Completely Free

These 20 Courses Includes Video Tutorials, Hand's on Labs and Notes.

Don't miss these courses if you want to make your career in 2025:",7,248,1.1K,113K,[],[],[],https://pbs.twimg.com/profile_images/1840810141349826560/q-G6zQmx_normal.jpg,https://x.com/JOBCORNER247/status/1902272784740261950,tweet_id:1902272784740261950
Tesla Owners Silicon Valley,@teslaownersSV,2025-03-20T05:23:36.000Z,True,"""Killing the demons in a video game, calms the demons in my mind."" 

Elon Musk",275,146,1.1K,125K,[],[],[],https://pbs.twimg.com/profile_images/1813087894204260353/cOEDYRn-_normal.jpg,https://x.com/teslaownersSV/status/1902591835551264940,tweet_id:1902591835551264940
Elon Musk,@elonmusk,2025-03-20T05:28:50.000Z,True,Yeah,98,24,286,11K,[],[],[],https://pbs.twimg.com/profile_images/1893803697185910784/Na5lOWi5_normal.jpg,https://x.com/elonmusk/status/1902593153644826713,tweet_id:1902593153644826713
Oliver T,@OliTervit,2025-03-20T05:31:56.000Z,True,"Time to resurrect as lord of gaming Kekius Maximus.

Make Videos Games Great Again  KEK",4,4,21,1.8K,[],['@elonmusk'],[],https://pbs.twimg.com/profile_images/1863156006827573248/prQBTXxc_normal.jpg,https://x.com/OliTervit/status/1902593930308547066,tweet_id:1902593930308547066
ocean jain,@ocjain4,2025-03-19T07:14:51.000Z,False,"आसान तो नही है 9 महीने अंतरिक्ष में एक कैप्सूल में जिंदा रह पाना

कितना धैर्य,आत्मसंयम,आत्मबल लगा होगा खुद को द्रढ़ व स्थिर करने में…!!",168,764,9.8K,150K,[],[],[],https://pbs.twimg.com/profile_images/1866811200970854400/yWSPMU7P_normal.jpg,https://x.com/ocjain4/status/1902257444425990344,tweet_id:1902257444425990344
James Tate,@JamesTate121,2025-03-19T23:37:22.000Z,True,Bravo to YouTube’s “Play” button!,226,2.7K,31K,485K,[],[],[],https://pbs.twimg.com/profile_images/1900352334024105984/qiL6pUmY_normal.jpg,https://x.com/JamesTate121/status/1902504703755264376,tweet_id:1902504703755264376
Mike Lee,@BasedMikeLee,2025-03-19T21:03:13.000Z,True,"Domestic, government-funded propaganda is evil 

Restore the Smith-Mundt Act",115,1K,3.5K,67K,[],[],[],https://pbs.twimg.com/profile_images/1888964527821139968/A047e0lQ_normal.jpg,https://x.com/BasedMikeLee/status/1902465907726938516,tweet_id:1902465907726938516
.,@playboicarti,2025-03-19T07:27:33.000Z,True,YE STFU,11K,111K,637K,41M,[],[],[],https://pbs.twimg.com/profile_images/1606798176903745541/DifwOt9C_normal.jpg,https://x.com/playboicarti/status/1902260638812127728,tweet_id:1902260638812127728
Linda Yaccarino,@lindayaX,2025-03-20T00:24:05.000Z,True,W Mike and Jack,103,161,3.2K,164K,[],[],[],https://pbs.twimg.com/profile_images/1886411712846233601/7ii3h-3D_normal.jpg,https://x.com/lindayaX/status/1902516460900974989,tweet_id:1902516460900974989
Cernovich,@Cernovich,2025-03-19T10:45:42.000Z,True,"They are trying to break your spirit , because they cannot create, only destroy.",437,3.1K,27K,499K,[],['@elonmusk'],[],https://pbs.twimg.com/profile_images/1891619729879801856/QofbmzaO_normal.jpg,https://x.com/Cernovich/status/1902310504573387105,tweet_id:1902310504573387105
PridefulSin,@ReignOfPride,2025-03-18T19:34:54.000Z,True,This screenshot of Mark and Eve is frying me LMAO,274,2.9K,87K,4.4M,[],[],[],https://pbs.twimg.com/profile_images/1901117749243555840/PH2LkYWQ_normal.jpg,https://x.com/ReignOfPride/status/1902081295221440675,tweet_id:1902081295221440675
Elon Musk,@elonmusk,2025-03-19T14:18:42.000Z,True,Restore the Smith-Mundt act!,3.3K,21K,70K,9.4M,[],[],[],https://pbs.twimg.com/profile_images/1893803697185910784/Na5lOWi5_normal.jpg,https://x.com/elonmusk/status/1902364110043431286,tweet_id:1902364110043431286
Nic Cruz Patane,@niccruzpatane,2025-03-18T00:59:37.000Z,True,"Signs around Brownsville, TX ",565,2K,19K,2.2M,[],[],['\\U0001f525'],https://pbs.twimg.com/profile_images/1805666868071391232/1qAqAOng_normal.jpg,https://x.com/niccruzpatane/status/1901800626247323804,tweet_id:1901800626247323804
NASA,@NASA,2025-03-18T18:00:57.000Z,True,"LIVE: NASA and  recap Blue Ghost Mission 1, which touched down on the lunar surface on March 2. Get updates on the lander’s NASA science experiments and tech, which collected data that could help us establish a long-term presence on the Moon.",97,350,1.7K,432K,[],['@Firefly_Space'],[],https://pbs.twimg.com/profile_images/1321163587679784960/0ZxKlEKB_normal.jpg,https://x.com/NASA/status/1902057650465931578,tweet_id:1902057650465931578
Elon Musk,@elonmusk,2025-03-19T06:52:39.000Z,True,,19K,32K,256K,44M,[],[],['\\U0001f4af'],https://pbs.twimg.com/profile_images/1893803697185910784/Na5lOWi5_normal.jpg,https://x.com/elonmusk/status/1902251855167582215,tweet_id:1902251855167582215
✿ well ✿,@dojasbin,2025-03-18T14:03:15.000Z,True,Penn is so good at voice overs I’m crying ,14,13,279,116K,[],[],"['\\U0001f602', '\\U0001f602']",https://pbs.twimg.com/profile_images/1845641141997166593/a1xYds2q_normal.jpg,https://x.com/dojasbin/status/1901997832959123508,tweet_id:1901997832959123508
SpaceX,@SpaceX,2025-03-18T20:45:00.000Z,True,Watch Dragon and Crew-9 return to Earth → http://spacex.com/launches/mission/?missionId=crew-9-return…,3K,6.9K,25K,4.3M,[],[],[],https://pbs.twimg.com/profile_images/1697749409851985920/HbrI04tM_normal.jpg,https://x.com/SpaceX/status/1902098937525510360,tweet_id:1902098937525510360
Science Magazine,@ScienceMagazine,2025-03-19T17:55:08.000Z,True,A new  study investigates the effects of menopausal hormone therapy on women’s Alzheimer’s disease risk and occurrence across age. #WomensHealth https://scim.ag/4hAtFug,2,7,24,14K,['#WomensHealth'],['@ScienceAdvances'],[],https://pbs.twimg.com/profile_images/1001918231752429568/wUNPvDdW_normal.jpg,https://x.com/ScienceMagazine/status/1902418575962599844,tweet_id:1902418575962599844
Elon Musk,@elonmusk,2025-03-20T05:45:03.000Z,True,The Democrat Party is melting down,324,178,1.1K,55K,[],[],[],https://pbs.twimg.com/profile_images/1893803697185910784/Na5lOWi5_normal.jpg,https://x.com/elonmusk/status/1902597234123767825,tweet_id:1902597234123767825
Gunther Eagleman™,@GuntherEagleman,2025-03-19T12:26:52.000Z,True,It all started with a fake birth certificate.,2.3K,5.1K,39K,1M,[],[],[],https://pbs.twimg.com/profile_images/1606836521784512512/Xb-_cXXi_normal.jpg,https://x.com/GuntherEagleman/status/1902335967324786922,tweet_id:1902335967324786922
